"","age","gender","grade_level","prefered_platform","online_shopping_freq"
"1",19,"male","college","shopee","occasionally"
"2",21,"male","college","shopee","rarely"
"3",21,"other","college","shopee","weekly"
"4",20,"other","college","shopee","rarely"
"5",20,"male","college","shopee","rarely"
"6",19,"male","college","lazada","occasionally"
"7",19,"other","college","shopee","weekly"
"8",21,"female","college","shopee","rarely"
"9",23,"male","college","tiktok","rarely"
"10",20,"female","college","tiktok","monthly"
"11",20,"male","college","tiktok","rarely"
"12",18,"female","college","shopee","rarely"
"13",20,"female","college","shein","monthly"
"14",20,"female","college","shopee","occasionally"
"15",22,"male","college","shopee","occasionally"
"16",19,"female","college","shopee","weekly"
"17",20,"female","college","shopee","occasionally"
"18",20,"other","college","shopee","rarely"
"19",19,"female","college","tiktok","occasionally"
"20",20,"male","college","shopee","occasionally"
"21",20,"female","college","shopee","monthly"
"22",20,"female","college","shopee","occasionally"
"23",18,"male","high school","shopee","rarely"
"24",20,"male","college","shopee","weekly"
"25",20,"male","college","tiktok","rarely"
"26",20,"male","college","shopee","occasionally"
"27",20,"male","college","shopee","occasionally"
"28",21,"male","college","shopee","monthly"
"29",20,"female","college","shopee","occasionally"
"30",19,"female","college","shein","rarely"
"31",20,"other","college","shopee","occasionally"
"32",19,"male","college","shopee","monthly"
"33",15,"female","high school","shopee","rarely"
"34",20,"male","college","shopee","monthly"
"35",20,"female","college","shopee","occasionally"
"36",19,"female","college","shein","monthly"
"37",20,"female","college","tiktok","rarely"
"38",26,"other","college","shopee","rarely"
"39",20,"other","college","shopee","occasionally"
"40",20,"female","college","shopee","monthly"
"41",20,"female","college","shopee","monthly"
"42",18,"female","college","shopee","weekly"
"43",20,"female","college","shopee","rarely"
"44",19,"male","college","shopee","rarely"
"45",19,"male","college","shein","monthly"
"46",20,"female","college","shein","occasionally"
"47",19,"male","college","tiktok","occasionally"
"48",19,"male","college","tiktok","monthly"
"49",20,"male","college","shopee","occasionally"
"50",20,"other","college","shopee","rarely"
"51",21,"female","college","shopee","weekly"
"52",NA,"female","high school","shein","occasionally"
"53",17,"female","high school","shopee","occasionally"
"54",20,"male","college","shopee","occasionally"
"55",19,"male","college","lazada","daily"
"56",23,"male","college","shopee","weekly"
"57",15,"female","high school","tiktok","occasionally"
"58",16,"female","high school","shopee","daily"
"59",15,"female","high school","shopee","weekly"
"60",16,"male","high school","shopee","monthly"
"61",30,"female","college","shopee","occasionally"
"62",15,"female","high school","tiktok","occasionally"
"63",NA,"female","high school","shein","occasionally"
"64",15,"female","high school","shopee","weekly"
"65",17,"female","high school","shopee","weekly"
"66",21,"male","college","shopee","occasionally"
"67",17,"female","high school","shopee","monthly"
"68",20,"male","college","shopee","occasionally"
"69",17,"other","high school","shopee","occasionally"
"70",17,"female","high school","shein","occasionally"
"71",18,"female","high school","shopee","monthly"
"72",17,"female","high school","shopee","occasionally"
"73",19,"female","college","shopee","monthly"
"74",16,"female","high school","tiktok","monthly"
"75",18,"male","high school","shopee","monthly"
"76",17,"female","high school","shopee","monthly"
"77",17,"female","high school","shopee","occasionally"
"78",16,"female","high school","shopee","monthly"
"79",17,"male","high school","shopee","weekly"
"80",18,"female","high school","shopee","occasionally"
"81",17,"male","high school","shopee","occasionally"
"82",19,"female","high school","shopee","occasionally"
"83",18,"male","high school","shopee","rarely"
"84",18,"female","high school","shopee","occasionally"
"85",18,"male","high school","shopee","rarely"
"86",17,"female","high school","shopee","monthly"
"87",14,"female","high school","shopee","rarely"
"88",16,"male","high school","shopee","occasionally"
"89",20,"male","college","shopee","occasionally"
"90",18,"female","high school","shopee","monthly"
"91",18,"female","high school","shopee","monthly"
"92",15,"female","high school","shopee","occasionally"
"93",18,"female","high school","tiktok","occasionally"
"94",18,"male","high school","shopee","daily"
"95",18,"female","high school","shopee","rarely"
"96",21,"female","college","tiktok","monthly"
"97",18,"other","high school","tiktok","monthly"
"98",21,"male","college","shopee","rarely"
"99",18,"female","high school","shopee","occasionally"
"100",19,"male","college","shopee","rarely"
"101",NA,"male","high school","tiktok","rarely"
"102",16,"male","high school","shein","weekly"
"103",20,"male","college","shopee","monthly"
"104",18,"female","high school","shopee","monthly"
"105",18,"female","high school","shein","occasionally"
"106",15,"female","high school","shopee","daily"
"107",17,"female","high school","tiktok","weekly"
"108",18,"male","high school","shopee","occasionally"
"109",20,"male","college","shopee","occasionally"
"110",14,"male","high school","shopee","rarely"
"111",22,"female","college","shopee","weekly"
"112",18,"female","college","shopee","rarely"
"113",20,"male","college","shopee","occasionally"
